time(s), average_n_photon(m^-3), average_n_exotic(m^-3)
0.28200000000000003,1390246187338495.5,0.000000000000000003625618799874536
0.28300000000000003,1390246187338492.8,0.0000000000000000036384301737169225
0.28400000000000003,1390246187338464.8,0.0000000000000000036512415475609794
0.28500000000000003,1390246187338462.3,0.000000000000000003664052921428451
0.28600000000000003,1390246187338454.3,0.000000000000000003676864295266016
0.28700000000000003,1390246187338452,0.000000000000000003689675669133099
0.28800000000000003,1390246187338340.5,0.000000000000000003702487042976686
0.289,1390246187338333,0.000000000000000003715298416820752
0.29,1390246187338330.3,0.0000000000000000037281097906830026
0.291,1390246187338302.3,0.0000000000000000037409211645251004
0.292,1390246187338299.5,0.000000000000000003753732538368658
0.293,1390246187338292,0.000000000000000003766543912234997
0.294,1390246187338289,0.000000000000000003779355286076025
0.295,1390246187336549,0.000000000000000003792166659942327
0.296,1390246187336546.5,0.000000000000000003804978033785772
0.297,1390246187336538.8,0.000000000000000003817789407627637
0.298,1390246187336536.3,0.000000000000000003830600781488916
0.299,1390246187336508,0.000000000000000003843412155335983
0.3,1390246187336498.8,0.000000000000000003856223529179395
0.301,1390246187336496,0.000000000000000003869034903044985
0.302,1390246187336386.5,0.000000000000000003881846276882261
0.303,1390246187336383.8,0.000000000000000003894657650747503
0.304,1390246187336376.3,0.0000000000000000039074690245904946
0.305,1390246187336373.3,0.0000000000000000039202803984392215
0.306,1390246187336345.3,0.000000000000000003933091772299893
0.307,1390246187336342.8,0.000000000000000003945903146141469
0.308,1390246187336334.8,0.000000000000000003958714519984434
0.309,1390246187336332.3,0.0000000000000000039715258938490065
0.31,1390246187335896.5,0.000000000000000003984337267694777
0.311,1390246187335887.3,0.000000000000000003997148641559318
0.312,1390246187335884.8,0.000000000000000004009960015402179
0.313,1390246187335856.8,0.000000000000000004022771389243547
0.314,1390246187335854,0.000000000000000004035582763103345
0.315,1390246187335846.5,0.000000000000000004048394136954773
0.316,1390246187335843.8,0.000000000000000004061205510797606
0.317,1390246187335733.8,0.000000000000000004074016884661152
0.318,1390246187335731.5,0.000000000000000004086828258498169
