time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction,neutrino_mass_eV
0.000000000000000000008296000000000001,319999999999999900000000000000000000,99999998157229650000000000000000000000,100000024263232700000000000000000,99999975154451150000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000008418,319999999999999900000000000000000000,100000000000854240000000000000000000000,100000024614875300000000000000000,99999974794369320000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000000854,319999999999999900000000000000000000,99999998157253620000000000000000000000,100000024966514810000000000000000,99999974434290260000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000008662,319999999999999900000000000000000000,100000000000879960000000000000000000000,100000025318157420000000000000000,99999974074208430000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000008784,319999999999999900000000000000000000,99999998157279350000000000000000000000,100000025669796930000000000000000,99999973714129370000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000008906000000000001,319999999999999900000000000000000000,100000000000901440000000000000000000000,100000026021439540000000000000000,99999973354047540000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000009028000000000001,319999999999999900000000000000000000,99999998157300840000000000000000000000,100000026373079040000000000000000,99999972993968480000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000009150000000000001,319999999999999900000000000000000000,100000000000927110000000000000000000000,100000026724721650000000000000000,99999972633886650000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000009272,319999999999999900000000000000000000,99999998157326480000000000000000000000,100000027076361160000000000000000,99999972273807600000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000009394,319999999999999900000000000000000000,100000000000952120000000000000000000000,100000027428003770000000000000000,99999971913725760000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000009516,319999999999999900000000000000000000,99999998157354640000000000000000000000,100000027779643280000000000000000,99999971553646700000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000009638,319999999999999900000000000000000000,100000000000977800000000000000000000000,100000028131285890000000000000000,99999971193564880000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000009760000000000001,319999999999999900000000000000000000,99999998157376140000000000000000000000,100000028482925400000000000000000,99999970833485810000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000009882000000000001,319999999999999900000000000000000000,100000000000999270000000000000000000000,100000028834568000000000000000000,99999970473403990000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000010004000000000001,319999999999999900000000000000000000,99999998157401860000000000000000000000,100000029186207520000000000000000,99999970113324930000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000010126000000000001,319999999999999900000000000000000000,100000000001025000000000000000000000000,100000029537850120000000000000000,99999969753243100000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000010248000000000002,319999999999999900000000000000000000,99999998157425820000000000000000000000,100000029889489630000000000000000,99999969393164040000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000001037,319999999999999900000000000000000000,100000000001048950000000000000000000000,100000030241132240000000000000000,99999969033082210000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000010492,319999999999999900000000000000000000,99999998157451500000000000000000000000,100000030592771750000000000000000,99999968673003150000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000010614,319999999999999900000000000000000000,100000000001074880000000000000000000000,100000030944414360000000000000000,99999968312921320000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000010736000000000001,319999999999999900000000000000000000,99999998157473230000000000000000000000,100000031296053870000000000000000,99999967952842260000000000000000000,0.9999998874648379,0.785877208489073
