time(s),radius(cm),n_photon(cm^-3),n_pairs(cm^-3),n_W,n_Z,n_H
223,16690000000000,192032920371295630000000,2029827417302181300000000000000000000,0,0,0
224,16720000000000,190658398577242600000000,2030552880399245500000000000000000000,0,0,0
225,16750000000000,189296152893812530000000,2031268013729073000000000000000000000,0,0,0
226,16780000000000,187946051987421570000000,2031972982466990000000000000000000000,0,0,0
227,16810000000000,186607966160787880000000,2032667948858876000000000000000000000,0,0,0
228,16840000000000,185281767329674420000000,2033353072278213400000000000000000000,0,0,0
229,16870000000000,183967329000001700000000,2034028509281925700000000000000000000,0,0,0
230,16900000000000,182664526245326230000000,2034694413665035400000000000000000000,0,0,0
231,16930000000000,181373235684676400000000,2035350936514166000000000000000000000,0,0,0
232,16960000000000,180093335460741280000000,2035998226259914600000000000000000000,0,0,0
233,16990000000000,178824705218403320000000,2036636428728123800000000000000000000,0,0,0
234,17020000000000,177567226083612940000000,2037265687190073000000000000000000000,0,0,0
235,17050000000000,176320780642595260000000,2037886142411618700000000000000000000,0,0,0
236,17080000000000,175085252921384700000000,2038497932701305000000000000000000000,0,0,0
237,17110000000000,173860528365682900000000,2039101193957465800000000000000000000,0,0,0
238,17140000000000,172646493821031350000000,2039696059714348000000000000000000000,0,0,0
239,17170000000000,171443037513296480000000,2040282661187269000000000000000000000,0,0,0
240,17200000000000,170250049029459820000000,2040861127316838000000000000000000000,0,0,0
241,17230000000000,169067419298707460000000,2041431584812258200000000000000000000,0,0,0
242,17260000000000,167895040573816400000000,2041994158193729600000000000000000000,0,0,0
243,17290000000000,166732806412828960000000,2042548969833977000000000000000000000,0,0,0
244,17320000000000,165580611661013560000000,2043096139998917500000000000000000000,0,0,0
245,17350000000000,164438352433104660000000,2043635786887492000000000000000000000,0,0,0
246,17380000000000,163305926095817770000000,2044168026670673200000000000000000000,0,0,0
247,17410000000000,162183231250636000000000,2044692973529675600000000000000000000,0,0,0
248,17440000000000,161070167716861100000000,2045210739693378400000000000000000000,0,0,0
249,17470000000000,159966636514926520000000,2045721435474983200000000000000000000,0,0,0
250,17500000000000,158872539849967400000000,2046225169307922700000000000000000000,0,0,0
251,17530000000000,157787781095642140000000,2046722047781035300000000000000000000,0,0,0
252,17560000000000,156712264778202970000000,2047212175673023000000000000000000000,0,0,0
253,17590000000000,155645896560810180000000,2047695655986209300000000000000000000,0,0,0
254,17620000000000,154588583228085400000000,2048172589979609500000000000000000000,0,0,0
255,17650000000000,153540232670901970000000,2048643077201333000000000000000000000,0,0,0
256,17680000000000,152500753871405440000000,2049107215520328000000000000000000000,0,0,0
257,17710000000000,151470056888262970000000,2049565101157485000000000000000000000,0,0,0
258,17740000000000,150448052842136280000000,2050016828716113400000000000000000000,0,0,0
259,17770000000000,149434653901374590000000,2050462491211803000000000000000000000,0,0,0
260,17800000000000,148429773267924260000000,2050902180101687500000000000000000000,0,0,0
261,17830000000000,147433325163451290000000,2051335985313118000000000000000000000,0,0,0
262,17860000000000,146445224815673100000000,2051763995271763600000000000000000000,0,0,0
263,17890000000000,145465388444895780000000,2052186296929149200000000000000000000,0,0,0
264,17920000000000,144493733250753800000000,2052602975789643800000000000000000000,0,0,0
265,17950000000000,143530177399149100000000,2053014115936909700000000000000000000,0,0,0
266,17980000000000,142574640009385190000000,2053419800059826800000000000000000000,0,0,0
267,18010000000000,141627041141494060000000,2053820109477899800000000000000000000,0,0,0
268,18040000000000,140687301783752140000000,2054215124166162600000000000000000000,0,0,0
269,18070000000000,139755343840382250000000,2054604922779590000000000000000000000,0,0,0
270,18100000000000,138831090119438670000000,2054989582677024200000000000000000000,0,0,0
271,18130000000000,137914464320872350000000,2055369179944632000000000000000000000,0,0,0
272,18160000000000,137005391024772870000000,2055743789418897500000000000000000000,0,0,0
273,18190000000000,136103795679784580000000,2056113484709163400000000000000000000,0,0,0
274,18220000000000,135209604591693480000000,2056478338219728800000000000000000000,0,0,0
275,18250000000000,134322744912183690000000,2056838421171514000000000000000000000,0,0,0
276,18280000000000,133443144627758830000000,2057193803623302200000000000000000000,0,0,0
277,18310000000000,132570732548826060000000,2057544554492562700000000000000000000,0,0,0
278,18340000000000,131705438298940830000000,2057890741575871300000000000000000000,0,0,0
279,18370000000000,130847192304209730000000,2058232431568931400000000000000000000,0,0,0
280,18400000000000,129995925782847700000000,2058569690086204900000000000000000000,0,0,0
281,18430000000000,129151570734888190000000,2058902581680162000000000000000000000,0,0,0
282,18460000000000,128314059932043670000000,2059231169860159600000000000000000000,0,0,0
283,18490000000000,127483326907713270000000,2059555517110951400000000000000000000,0,0,0
284,18520000000000,126659305947136400000000,2059875684910842600000000000000000000,0,0,0
285,18550000000000,125841932077689060000000,2060191733749492300000000000000000000,0,0,0
286,18580000000000,125031141059320450000000,2060503723145374800000000000000000000,0,0,0
287,18610000000000,124226869375128590000000,2060811711662903700000000000000000000,0,0,0
288,18640000000000,123429054222071920000000,2061115756929227300000000000000000000,0,0,0
289,18670000000000,122637633501814820000000,2061415915650702800000000000000000000,0,0,0
290,18700000000000,121852545811704700000000,2061712243629054000000000000000000000,0,0,0
291,18730000000000,121073730435879640000000,2062004795777221400000000000000000000,0,0,0
292,18760000000000,120301127336502940000000,2062293626134907600000000000000000000,0,0,0
293,18790000000000,119534677145123740000000,2062578787883830400000000000000000000,0,0,0
294,18820000000000,118774321154161120000000,2062860333362681400000000000000000000,0,0,0
295,18850000000000,118020001308509940000000,2063138314081803300000000000000000000,0,0,0
296,18880000000000,117271660197266170000000,2063412780737588800000000000000000000,0,0,0
297,18910000000000,116529241045570830000000,2063683783226604800000000000000000000,0,0,0
298,18940000000000,115792687706569210000000,2063951370659452300000000000000000000,0,0,0
299,18970000000000,115061944653484310000000,2064215591374362800000000000000000000,0,0,0
300,19000000000000,114336956971802940000000,2064476492950539500000000000000000000,0,0,0
301,19030000000000,113617670351572630000000,2064734122221247000000000000000000000,0,0,0
302,19060000000000,112904031079806360000000,2064988525286654800000000000000000000,0,0,0
303,19090000000000,112195986032996100000000,2065239747526442000000000000000000000,0,0,0
304,19120000000000,111493482669730000000000,2065487833612163000000000000000000000,0,0,0
305,19150000000000,110796469023415300000000,2065732827519383600000000000000000000,0,0,0
306,19180000000000,110104893695101370000000,2065974772539591000000000000000000000,0,0,0
307,19210000000000,109418705846405430000000,2066213711291880400000000000000000000,0,0,0
308,19240000000000,108737855192536010000000,2066449685734425600000000000000000000,0,0,0
309,19270000000000,108062291995414100000000,2066682737175735400000000000000000000,0,0,0
310,19300000000000,107391967056890800000000,2066912906285701800000000000000000000,0,0,0
311,19330000000000,106726831712059240000000,2067140233106443200000000000000000000,0,0,0
312,19360000000000,106066837822659040000000,2067364757062947200000000000000000000,0,0,0
313,19390000000000,105411937770573530000000,2067586516973516600000000000000000000,0,0,0
314,19420000000000,104762084451415910000000,2067805551060023700000000000000000000,0,0,0
315,19450000000000,104117231268205070000000,2068021896957974600000000000000000000,0,0,0
316,19480000000000,103477332125128840000000,2068235591726389500000000000000000000,0,0,0
317,19510000000000,102842341421392880000000,2068446671857500400000000000000000000,0,0,0
318,19540000000000,102212214045154410000000,2068655173286273600000000000000000000,0,0,0
319,19570000000000,101586905367540400000000,2068861131399754600000000000000000000,0,0,0
320,19600000000000,100966371236746300000000,2069064581046244600000000000000000000,0,0,0
321,19630000000000,100350567972217470000000,2069265556544309700000000000000000000,0,0,0
322,19660000000000,99739452358909040000000,2069464091691624000000000000000000000,0,0,0
323,19690000000000,99132981641625050000000,2069660219773654700000000000000000000,0,0,0
324,19720000000000,98531113519434830000000,2069853973572186400000000000000000000,0,0,0
325,19750000000000,97933806140164850000000,2070045385373693400000000000000000000,0,0,0
326,19780000000000,97341018094966710000000,2070234486977559600000000000000000000,0,0,0
327,19810000000000,96752708412958000000000,2070421309704149000000000000000000000,0,0,0
328,19840000000000,96168836555936780000000,2070605884402731200000000000000000000,0,0,0
329,19870000000000,95589362413166830000000,2070788241459265000000000000000000000,0,0,0
330,19900000000000,95014246296234030000000,2070968410804040200000000000000000000,0,0,0
331,19930000000000,94443448933972630000000,2071146421919182800000000000000000000,0,0,0
332,19960000000000,93876931467458770000000,2071322303846026000000000000000000000,0,0,0
333,19990000000000,93314655445073100000000,2071496085192348600000000000000000000,0,0,0
334,20020000000000,92756582817628100000000,2071667794139484300000000000000000000,0,0,0
