time(s),radius(cm),n_photon(cm^-3),n_pairs(cm^-3),n_W,n_Z,n_H
305,19150000000000,212175238179840240000000,2817683537566717000000000000000000000,0,0,0
306,19180000000000,211181186107204430000000,2818573586519234000000000000000000000,0,0,0
307,19210000000000,210193333930944830000000,2819455328099421000000000000000000000,0,0,0
308,19240000000000,209211633390439320000000,2820328852627448000000000000000000000,0,0,0
309,19270000000000,208236036675163000000000,2821194249302955000000000000000000000,0,0,0
310,19300000000000,207266496419799300000000,2822051606220669000000000000000000000,0,0,0
311,19330000000000,206302965699410540000000,2822901010385774000000000000000000000,0,0,0
312,19360000000000,205345398024667940000000,2823742547729050500000000000000000000,0,0,0
313,19390000000000,204393747337142060000000,2824576303121776700000000000000000000,0,0,0
314,19420000000000,203447968004649700000000,2825402360390402500000000000000000000,0,0,0
315,19450000000000,202508014816658850000000,2826220802330998500000000000000000000,0,0,0
316,19480000000000,201573842979750970000000,2827031710723481000000000000000000000,0,0,0
317,19510000000000,200645408113137500000000,2827835166345622000000000000000000000,0,0,0
318,19540000000000,199722666244231760000000,2828631248986844000000000000000000000,0,0,0
319,19570000000000,198805573804276520000000,2829420037461800000000000000000000000,0,0,0
320,19600000000000,197894087624022700000000,2830201609623756000000000000000000000,0,0,0
321,19630000000000,196988164929462870000000,2830976042377759000000000000000000000,0,0,0
322,19660000000000,196087763337615180000000,2831743411693612300000000000000000000,0,0,0
323,19690000000000,195192840852359780000000,2832503792618649000000000000000000000,0,0,0
324,19720000000000,194303355860325470000000,2833257259290318000000000000000000000,0,0,0
325,19750000000000,193419267126825580000000,2834003884948571400000000000000000000,0,0,0
326,19780000000000,192540533791844120000000,2834743741948072000000000000000000000,0,0,0
327,19810000000000,191667115366069830000000,2835476901770212000000000000000000000,0,0,0
328,19840000000000,190798971726978600000000,2836203435034955000000000000000000000,0,0,0
329,19870000000000,189936063114962470000000,2836923411512493000000000000000000000,0,0,0
330,19900000000000,189078350129505750000000,2837636900134737600000000000000000000,0,0,0
331,19930000000000,188225793725407440000000,2838343969006628500000000000000000000,0,0,0
332,19960000000000,187378355209047740000000,2839044685417283000000000000000000000,0,0,0
333,19990000000000,186535996234701130000000,2839739115850969000000000000000000000,0,0,0
334,20020000000000,185698678800891440000000,2840427325997925000000000000000000000,0,0,0
335,20050000000000,184866365246792900000000,2841109380765007000000000000000000000,0,0,0
336,20080000000000,184039018248672000000000,2841785344286184600000000000000000000,0,0,0
337,20110000000000,183216600816373000000000,2842455279932881600000000000000000000,0,0,0
338,20140000000000,182399076289844700000000,2843119250324158000000000000000000000,0,0,0
339,20170000000000,181586408335708830000000,2843777317336744600000000000000000000,0,0,0
340,20200000000000,180778560943869000000000,2844429542114929000000000000000000000,0,0,0
341,20230000000000,179975498424159730000000,2845075985080295500000000000000000000,0,0,0
342,20260000000000,179177185403035140000000,2845716705941318000000000000000000000,0,0,0
343,20290000000000,178383586820296970000000,2846351763702817000000000000000000000,0,0,0
344,20320000000000,177594667925861000000000,2846981216675275600000000000000000000,0,0,0
345,20350000000000,176810394276561300000000,2847605122484014000000000000000000000,0,0,0
346,20380000000000,176030731732992800000000,2848223538078238000000000000000000000,0,0,0
347,20410000000000,175255646456390120000000,2848836519739947500000000000000000000,0,0,0
348,20440000000000,174485104905543400000000,2849444123092717000000000000000000000,0,0,0
349,20470000000000,173719073833750350000000,2850046403110351000000000000000000000,0,0,0
350,20500000000000,172957520285803570000000,2850643414125410000000000000000000000,0,0,0
351,20530000000000,172200411595013200000000,2851235209837611000000000000000000000,0,0,0
352,20560000000000,171447715380264540000000,2851821843322110000000000000000000000,0,0,0
353,20590000000000,170699399543109500000000,2852403367037662000000000000000000000,0,0,0
354,20620000000000,169955432264891960000000,2852979832834661600000000000000000000,0,0,0
355,20650000000000,169215782003906800000000,2853551291963070000000000000000000000,0,0,0
356,20680000000000,168480417492591450000000,2854117795080224000000000000000000000,0,0,0
