X,Y,Z,Intensity
1,4,9,-21.117856647973294
1,5,0,-20.81560998517412
1,5,1,19.751064678080542
1,5,2,19.863281724883894
1,5,3,19.863281724883894
1,5,4,20.047059825895055
1,5,5,20.23359475173612
1,5,6,19.894629845105168
1,5,7,20.090311495637987
1,5,8,19.689063301768122
1,5,9,-18.587844338925468
1,6,0,21.04710301346554
1,6,1,-19.65305602501447
1,6,2,-19.65142250160963
1,6,3,20.592817091449536
1,6,4,-19.868823527583544
1,6,5,-19.925035558675418
1,6,6,-19.792404888264493
1,6,7,-20.245645663245227
1,6,8,20.749880604374873
1,6,9,21.04710301346554
1,7,0,20.133840026790214
1,7,1,19.677744960450617
1,7,2,-19.6422884314151
1,7,3,-19.76545291421911
1,7,4,20.456277001606836
1,7,5,-19.311710534473555
1,7,6,-19.542823103492253
1,7,7,20.56268516303571
1,7,8,-20.83656531047118
1,7,9,20.136988077658135
1,8,0,-19.697063824953382
1,8,1,20.380543867438583
1,8,2,18.921716024624686
1,8,3,-20.237329251739155
1,8,4,-20.237329251739155
1,8,5,18.988771219874316
1,8,6,20.45798259507902
1,8,7,20.507620474936402
1,8,8,19.879724154299367
1,8,9,-19.64465938416695
1,9,0,18.553143836971074
1,9,1,20.380543867438583
1,9,2,19.156441698008173
1,9,3,20.41184725841649
1,9,4,20.18547647343587
1,9,5,20.130996527744706
1,9,6,20.130996527744706
1,9,7,18.990600156810938
1,9,8,-18.88377991057107
1,9,9,18.553143836971074
2,0,0,20.606140619329608
2,0,1,18.784333498839526
2,0,2,20.267189796052808
2,0,3,20.547911237984444
2,0,4,20.700655796145348
2,0,5,-20.442715781314575
2,0,6,19.566656729716502
2,0,7,19.729313254547915
2,0,8,-19.866545921809916
2,0,9,20.606140619329608
2,1,0,-18.879911766094224
2,1,1,-19.1120761386095
2,1,2,-20.257727802012674
2,1,3,-19.66545221695692
2,1,4,20.56089425868131
2,1,5,-20.45742084746569
2,1,6,19.64404130060187
2,1,7,21.075875262354174
2,1,8,-19.458831614250567
2,1,9,20.090938582797634
2,2,0,-19.97505580976
2,2,1,19.374218662781555
2,2,2,19.706146425978275
2,2,3,-19.811256046540795
2,2,4,-19.84111219664375
2,2,5,-20.609365738270427
2,2,6,-20.312460554703364
2,2,7,19.580866993305754
2,2,8,-19.610331318426315
2,2,9,20.22771798204445
2,3,0,-20.183884495736805
2,3,1,21.699293180586302
2,3,2,20.01889912769174
2,3,3,-18.782240384161188
2,3,4,19.40892681524081
2,3,5,-20.609365738270427
2,3,6,19.36514903283935
2,3,7,-19.435291049484388
2,3,8,-19.743777605529075
2,3,9,-19.743777605529075
2,4,0,-20.183884495736805
2,4,1,-19.949705253778784
2,4,2,20.166087643048773
2,4,3,19.33592324340168
2,4,4,19.265736045054503
2,4,5,-19.644579131643948
2,4,6,19.826487869617274
2,4,7,19.61800567516159
2,4,8,-19.416954568600516
2,4,9,18.510296567437262
2,5,0,-19.583984734586693
2,5,1,-19.960025285307267
2,5,2,19.443719349141666
2,5,3,-20.398221508619294
2,5,4,20.590359128162838
2,5,5,19.314010391271154
2,5,6,19.525977104429835
2,5,7,19.59288820703627
2,5,8,19.895064435762336
2,5,9,18.568779586283384
2,6,0,19.365732402504833
2,6,1,20.2140432552161
2,6,2,18.359591268655983
2,6,3,19.363947921797276
2,6,4,20.58733305893017
2,6,5,19.552263902862997
2,6,6,19.186679061735607
