time(s),avg_energy(J/m^3),avg_photon(m^-3)
13.200000000000001,98678.73979365776,10000000000
13.3,98668.87191966479,10000000000
13.4,98659.00503249896,10000000000
13.5,98649.13913198994,10000000000
13.600000000000001,98639.27421807479,10000000000
13.700000000000001,98629.4102906369,10000000000
13.8,98619.5473496051,10000000000
13.9,98609.685394883,10000000000
14,98599.82442633151,10000000000
14.100000000000001,98589.9644439125,10000000000
14.200000000000001,98580.10544744438,10000000000
14.3,98570.24743689109,10000000000
14.4,98560.39041217334,10000000000
14.5,98550.53437313168,10000000000
14.600000000000001,98540.67931969938,10000000000
14.700000000000001,98530.82525173893,10000000000
14.8,98520.9721692414,10000000000
14.9,98511.1200720077,10000000000
15,98501.2689599997,10000000000
15.100000000000001,98491.41883312653,10000000000
15.200000000000001,98481.56969121925,10000000000
15.3,98471.72153425268,10000000000
15.4,98461.87436210919,10000000000
15.5,98452.02817464888,10000000000
15.600000000000001,98442.18297183768,10000000000
15.700000000000001,98432.33875357092,10000000000
15.8,98422.49551967056,10000000000
15.9,98412.65327012537,10000000000
16,98402.812004804,10000000000
16.1,98392.97172358939,10000000000
16.2,98383.13242641413,10000000000
16.3,98373.29411316874,10000000000
16.400000000000002,98363.45678377151,10000000000
16.5,98353.62043809831,10000000000
16.6,98343.78507603219,10000000000
16.7,98333.95069754125,10000000000
16.8,98324.11730245792,10000000000
16.900000000000002,98314.28489076075,10000000000
17,98304.45346224512,10000000000
17.1,98294.6230169152,10000000000
17.2,98284.79355462297,10000000000
17.3,98274.96507525392,10000000000
17.400000000000002,98265.13757873347,10000000000
17.5,98255.31106496828,10000000000
17.6,98245.48553386657,10000000000
17.7,98235.66098534058,10000000000
17.8,98225.83741923326,10000000000
17.900000000000002,98216.01483547752,10000000000
18,98206.19323399752,10000000000
18.1,98196.37261466234,10000000000
18.2,98186.55297743269,10000000000
18.3,98176.73432210932,10000000000
18.400000000000002,98166.91664866706,10000000000
18.5,98157.09995701988,10000000000
18.6,98147.28424703308,10000000000
18.7,98137.46951858292,10000000000
18.8,98127.6557716442,10000000000
18.900000000000002,98117.84300605542,10000000000
19,98108.03122175696,10000000000
19.1,98098.22041865854,10000000000
19.200000000000003,98088.41059660896,10000000000
19.3,98078.6017555382,10000000000
19.400000000000002,98068.79389536445,10000000000
19.5,98058.98701597074,10000000000
19.6,98049.18111728854,10000000000
19.700000000000003,98039.37619915926,10000000000
19.8,98029.5722615623,10000000000
19.900000000000002,98019.7693043139,10000000000
20,98009.96732738747,10000000000
20.1,98000.16633066394,10000000000
20.200000000000003,97990.36631404345,10000000000
20.3,97980.56727740023,10000000000
20.400000000000002,97970.76922067668,10000000000
20.5,97960.97214375956,10000000000
20.6,97951.17604652335,10000000000
20.700000000000003,97941.38092891294,10000000000
20.8,97931.58679083089,10000000000
20.900000000000002,97921.79363215019,10000000000
21,97912.0014528011,10000000000
21.1,97902.21025264276,10000000000
21.200000000000003,97892.42003162832,10000000000
21.3,97882.6307896293,10000000000
21.400000000000002,97872.84252654726,10000000000
21.5,97863.05524229747,10000000000
21.6,97853.2689367552,10000000000
21.700000000000003,97843.4836098763,10000000000
21.8,97833.69926151342,10000000000
21.900000000000002,97823.9158915671,10000000000
22,97814.13349998205,10000000000
22.1,97804.35208665494,10000000000
22.200000000000003,97794.57165144867,10000000000
22.3,97784.79219425542,10000000000
22.400000000000002,97775.01371503691,10000000000
22.5,97765.23621368216,10000000000
22.6,97755.45969006127,10000000000
22.700000000000003,97745.68414409898,10000000000
22.8,97735.90957569053,10000000000
22.900000000000002,97726.1359846996,10000000000
23,97716.36337112596,10000000000
23.1,97706.59173476936,10000000000
23.200000000000003,97696.82107559708,10000000000
23.3,97687.0513935065,10000000000
23.400000000000002,97677.28268837098,10000000000
23.5,97667.51496008325,10000000000
23.6,97657.74820860311,10000000000
23.700000000000003,97647.98243378628,10000000000
23.8,97638.21763552006,10000000000
