time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction
131,9398152.284025542,10000000000,0.00999999867999988,0.8600000000003262,1
132,9393736.952148832,10000000000,0.009999998669998887,0.8600000000003262,1
133,9389323.740264796,10000000000,0.009999998659999104,0.8600000000003262,1
134,9384912.647316596,10000000000,0.009999998649996003,0.8600000000003262,1
135,9380503.672294063,10000000000,0.009999998640005694,0.8600000000003262,1
136,9376096.814117942,10000000000,0.009999998630002609,0.8600000000003262,1
137,9371692.071779028,10000000000,0.009999998620002823,0.8600000000003262,1
138,9367289.444242312,10000000000,0.009999998609998883,0.8600000000003262,1
139,9362888.930448761,10000000000,0.009999998599995941,0.8600000000003262,1
140,9358490.529365819,10000000000,0.009999998589995368,0.8600000000003262,1
141,9354094.23998245,10000000000,0.00999999858000569,0.8600000000003262,1
142,9349700.06122647,10000000000,0.00999999857000259,0.8600000000003262,1
143,9345307.99209598,10000000000,0.009999998560002174,0.8600000000003262,1
144,9340918.03153256,10000000000,0.009999998549999075,0.8600000000003262,1
145,9336530.178525753,10000000000,0.00999999853999887,0.8600000000003262,1
146,9332144.432008496,10000000000,0.009999998529998297,0.8600000000003262,1
147,9327760.79098313,10000000000,0.009999998519995354,0.8600000000003262,1
148,9323379.254392577,10000000000,0.009999998510004887,0.8600000000003262,1
149,9318999.82120535,10000000000,0.009999998500005103,0.8600000000003262,1
150,9314622.490415396,10000000000,0.009999998490002002,0.8600000000003262,1
151,9310247.260956302,10000000000,0.009999998479998221,0.8600000000003262,1
152,9305874.131829262,10000000000,0.00999999846999512,0.8600000000003262,1
153,9301503.10198338,10000000000,0.009999998459995338,0.8600000000003262,1
154,9297134.170387985,10000000000,0.00999999845000487,0.8600000000003262,1
155,9292767.336035421,10000000000,0.009999998440001929,0.8600000000003262,1
156,9288402.597877817,10000000000,0.009999998430001355,0.8600000000003262,1
157,9284039.95489672,10000000000,0.009999998420001148,0.8600000000003262,1
158,9279679.406066502,10000000000,0.00999999840999805,0.8600000000003262,1
159,9275320.950347908,10000000000,0.009999998399997633,0.8600000000003262,1
160,9270964.586728966,10000000000,0.009999998389994536,0.8600000000003262,1
161,9266610.314171687,10000000000,0.009999998380004855,0.8600000000003262,1
162,9262258.13165283,10000000000,0.009999998370004284,0.8600000000003262,1
163,9257908.03814907,10000000000,0.00999999836000134,0.8600000000003262,1
164,9253560.032652136,10000000000,0.0099999983499974,0.8600000000003262,1
165,9249214.114107298,10000000000,0.009999998339997618,0.8600000000003262,1
166,9244870.281524135,10000000000,0.009999998329994517,0.8600000000003262,1
167,9240528.533850398,10000000000,0.009999998320004208,0.8600000000003262,1
168,9236188.870086538,10000000000,0.009999998310001108,0.8600000000003262,1
169,9231851.289191399,10000000000,0.009999998300001325,0.8600000000003262,1
170,9227515.790161632,10000000000,0.00999999829000033,0.8600000000003262,1
171,9223182.371972336,10000000000,0.009999998279997388,0.8600000000003262,1
172,9218851.033593528,10000000000,0.009999998269996814,0.8600000000003262,1
173,9214521.774015334,10000000000,0.009999998260007135,0.8600000000003262,1
174,9210194.592202004,10000000000,0.009999998250004038,0.8600000000003262,1
175,9205869.487160034,10000000000,0.00999999824000362,0.8600000000003262,1
176,9201546.457857212,10000000000,0.009999998230000522,0.8600000000003262,1
177,9197225.50328756,10000000000,0.00999999821999737,0.8600000000003262,1
178,9192906.622406429,10000000000,0.009999998209996797,0.8600000000003262,1
179,9188589.814231081,10000000000,0.009999998199993856,0.8600000000003262,1
180,9184275.077719945,10000000000,0.009999998190003388,0.8600000000003262,1
181,9179962.411864804,10000000000,0.009999998180003605,0.8600000000003262,1
182,9175651.815650055,10000000000,0.009999998170000505,0.8600000000003262,1
183,9171343.288077502,10000000000,0.00999999815999967,0.8600000000003262,1
184,9167036.828101236,10000000000,0.009999998149996569,0.8600000000003262,1
185,9162732.434731351,10000000000,0.009999998139996783,0.8600000000003262,1
186,9158430.106962118,10000000000,0.009999998130006316,0.8600000000003262,1
187,9154129.843750529,10000000000,0.009999998120003375,0.8600000000003262,1
188,9149831.644110378,10000000000,0.009999998110002802,0.8600000000003262,1
189,9145535.507019468,10000000000,0.00999999809999965,0.8600000000003262,1
190,9141241.431465909,10000000000,0.009999998089996551,0.8600000000003262,1
191,9136949.416449254,10000000000,0.009999998079996136,0.8600000000003262,1
192,9132659.460945573,10000000000,0.009999998069993037,0.8600000000003262,1
193,9128371.563963117,10000000000,0.009999998060003358,0.8600000000003262,1
